name,ibge_code,state,capital,category_number,label_name,latitude,longitude
"Monsenhor João Alexandre Claudio ",3116605,MG,Cláudio,10,Monsenhor João Alexandre,-20.4445746550274,-44.7684225278902
Coimbra,3116704,MG,Coimbra,5,Coimbra,-20.8586595280143,-42.805939102564
Coluna,3116803,MG,Coluna,5,Coluna,-18.2204050351578,-42.8436545122746
Comendador Gomes,3116902,MG,Comendador Gomes,5,Comendador Gomes,-19.7002146271412,-49.0814302053372
Comercinho,3117009,MG,Comercinho,5,Comercinho,-16.2965954747835,-41.7911317349164
"Agua Branca de Minas Comercinho ",3117009,MG,Comercinho,10,Água Branca de Minas,-16.2965954747835,-41.7911317349164
Conceição da Aparecida,3117108,MG,Conceição da Aparecida,5,Conceição da Aparecida,-21.0966200708181,-46.203127249623
Conceição da Barra de Minas,3115201,MG,Conceição da Barra de Minas,5,Conceição da Barra de Minas,-21.1317693674981,-44.4778082132301
Conceição das Alagoas,3117306,MG,Conceição das Alagoas,5,Conceição das Alagoas,-19.9231135061827,-48.381874129465
"Poncianos Conceição das Alagoas ",3117306,MG,Conceição das Alagoas,10,Poncianos,-19.9231135061827,-48.381874129465
Conceição das Pedras,3117207,MG,Conceição das Pedras,5,Conceição das Pedras,-22.1611757087795,-45.4536794627182
Conceição de Ipanema,3117405,MG,Conceição de Ipanema,5,Conceição de Ipanema,-19.9307803586776,-41.6924492631517
Conceição do Mato Dentro,3117504,MG,Conceição do Mato Dentro,5,Conceição do Mato Dentro,-19.0451899945408,-43.423435767518
Conceição do Pará,3117603,MG,Conceição do Pará,5,Conceição do Pará,-19.7490562324375,-44.8958756116422
Conceição do Rio Verde,3117702,MG,Conceição do Rio Verde,5,Conceição do Rio Verde,-21.8776655592195,-45.0837688660576
"Aguas de Contendas Conceição do Rio Verde ",3117702,MG,Conceição do Rio Verde,10,Águas de Contendas,-21.8776655592195,-45.0837688660576
Conceição dos Ouros,3117801,MG,Conceição dos Ouros,5,Conceição dos Ouros,-22.4174754897215,-45.7963266584857
Conego Marinho,3117836,MG,Cônego Marinho,5,Cônego Marinho,-15.2962703181641,-44.4151547108268
"Cruz dos Araújos Conego Marinho ",3117836,MG,Cônego Marinho,15,Cruz dos Araújos,-15.2962703181641,-44.4151547108268
"Olhos d Agua do Bom Jesus Conego Marinho ",3117836,MG,Cônego Marinho,25,Olhos d'Água do Bom Jesus,-15.2962703181641,-44.4151547108268
Confins,3117876,MG,Confins,5,Confins,-19.6299482494053,-43.9955960875638
Congonhal,3117900,MG,Congonhal,5,Congonhal,-22.152560758106,-46.0536623723338
Congonhas,3118007,MG,Congonhas,5,Congonhas,-20.5046427885581,-43.8568926496971
Alto Maranhão Congonhas,3118007,MG,Congonhas,10,Alto Maranhão,-20.5046427885581,-43.8568926496971
"Lobo Leite Congonhas ",3118007,MG,Congonhas,15,Lobo Leite,-20.5046427885581,-43.8568926496971
Congonhas do Norte,3118106,MG,Congonhas do Norte,5,Congonhas do Norte,-18.8164519608161,-43.6876316327273
Conquista,3118205,MG,Conquista,5,Conquista,-19.9369306256422,-47.5432832203071
"Guaxima Conquista ",3118205,MG,Conquista,10,Guaxima,-19.9369306256422,-47.5432832203071
"Jubai Conquista ",3118205,MG,Conquista,15,Jubaí,-19.9369306256422,-47.5432832203071
Conselheiro Lafaiete,3118304,MG,Conselheiro Lafaiete,5,Conselheiro Lafaiete,-20.6608517994441,-43.7884446647199
"Buarque de Macedo Conselheiro Lafaiete ",3118304,MG,Conselheiro Lafaiete,10,Buarque de Macedo,-20.6608517994441,-43.7884446647199
Conselheiro Pena,3118403,MG,Conselheiro Pena,5,Conselheiro Pena,-19.1756232014514,-41.4719740204006
"Barra do Cuiete Conselheiro Pena ",3118403,MG,Conselheiro Pena,15,Barra do Cuieté,-19.1756232014514,-41.4719740204006
"Bueno Conselheiro Pena ",3118403,MG,Conselheiro Pena,20,Bueno,-19.1756232014514,-41.4719740204006
"Cuiete Velho Conselheiro Pena ",3118403,MG,Conselheiro Pena,25,Cuieté Velho,-19.1756232014514,-41.4719740204006
"Ferruginha Conselheiro Pena ",3118403,MG,Conselheiro Pena,35,Ferruginha,-19.1756232014514,-41.4719740204006
"Penha do Norte Conselheiro Pena ",3118403,MG,Conselheiro Pena,45,Penha do Norte,-19.1756232014514,-41.4719740204006
Consolacao,3118502,MG,Consolação,5,Consolação,-22.5504650358103,-45.9222507202093
Contagem,3118601,MG,Contagem,5,Contagem,-19.9434459056633,-44.0663446487239
"Parque Industrial Contagem ",3118601,MG,Contagem,10,Parque Industrial,-19.9434459056633,-44.0663446487239
Coqueiral,3118700,MG,Coqueiral,5,Coqueiral,-21.1865745236631,-45.440805566821
"Frei Eustaquio Coqueiral ",3118700,MG,Coqueiral,10,Frei Eustáquio,-21.1865745236631,-45.440805566821
Coracao de Jesus,3118809,MG,Coração de Jesus,5,Coração de Jesus,-16.6893234476866,-44.3584952946502
Alvacao Coracao de Jesus,3118809,MG,Coração de Jesus,10,Alvação,-16.6893234476866,-44.3584952946502
