Novo Aripuana;1303304;AM;Novo Aripuanã;05;Novo Aripuanã;1058;N;-5.12266931419617;-60.3770456690009
Parintins;1303403;AM;Parintins;05;Parintins;1058;N;-2.62705258583723;-56.7362921451951
Mocambo Parintins ;1303403;AM;Parintins;10;Mocambo;1058;N;-2.62705258583723;-56.7362921451951
Pauini;1303502;AM;Pauini;05;Pauini;1058;N;-7.71404364432219;-67.0020974885282
Presidente Figueiredo;1303536;AM;Presidente Figueiredo;05;Presidente Figueiredo;1058;N;-2.058429085233;-60.0256468344675
Balbina Presidente Figueiredo;1303536;AM;Presidente Figueiredo;10;Balbina;1058;N;-2.058429085233;-60.0256468344675
Rio Preto da Eva;1303569;AM;Rio Preto da Eva;05;Rio Preto da Eva;1058;N;-2.6933015416451;-59.704738094199
Santa Isabel do Rio Negro;1303601;AM;Santa Isabel do Rio Negro;05;Santa Isabel do Rio Negro;1058;N;-0.416694831881864;-65.020022639512
Santo Antônio do Ica;1303700;AM;Santo Antônio do Içá;05;Santo Antônio do Içá;1058;N;-3.10748630918151;-67.9464851438841
São Gabriel da Cachoeira;1303809;AM;São Gabriel da Cachoeira;05;São Gabriel da Cachoeira;1058;N;-0.136462788116522;-67.0836428963463
Cucui São Gabriel da Cachoeira ;1303809;AM;São Gabriel da Cachoeira;12;Cucui;1058;N;-0.136462788116522;-67.0836428963463
Icana São Gabriel da Cachoeira ;1303809;AM;São Gabriel da Cachoeira;15;Içana;1058;N;-0.136462788116522;-67.0836428963463
São Felipe São Gabriel da Cachoeira ;1303809;AM;São Gabriel da Cachoeira;20;São Felipe;1058;N;-0.136462788116522;-67.0836428963463
São Paulo de Olivenca;1303908;AM;São Paulo de Olivença;05;São Paulo de Olivença;1058;N;-3.46650962349132;-68.9448534881358
Santa Rita São Paulo de Olivenca ;1303908;AM;São Paulo de Olivença;15;Santa Rita;1058;N;-3.46650962349132;-68.9448534881358
São Sebastião do Uatuma;1303957;AM;São Sebastião do Uatumã;05;São Sebastião do Uatumã;1058;N;-2.57015257967785;-57.8703463558346
Silves;1304005;AM;Silves;05;Silves;1058;N;-2.83642742966584;-58.2148008608269
Tabatinga;1304062;AM;Tabatinga;05;Tabatinga;1058;N;-4.23188367564665;-69.9462443752272
Tapaua;1304104;AM;Tapauá;05;Tapauá;1058;N;-5.62422351778794;-63.1870948671802
Tefé;1304203;AM;Tefé;05;Tefé;1058;N;-3.34837249394151;-64.7084196633027
Tonantins;1304237;AM;Tonantins;05;Tonantins;1058;N;-2.86109124983543;-67.7764822806952
Uarini;1304260;AM;Uarini;05;Uarini;1058;N;-2.9836092426921;-65.1553456401554
Urucara;1304302;AM;Urucará;05;Urucará;1058;N;-2.53661167184038;-57.7598281745956
Urucurituba;1304401;AM;Urucurituba;05;Urucurituba;1058;N;-3.1346331156473;-58.1596410413098
Augusto Montenegro Urucurituba ;1304401;AM;Urucurituba;10;Augusto Montenegro;1058;N;-3.1346331156473;-58.1596410413098
Amapa;1600105;AP;Amapá;05;Amapá;1058;N;2.05392124468205;-50.7932144702699
Sucuriju Amapa ;1600105;AP;Amapá;15;Sucuriju;1058;N;2.05392124468205;-50.7932144702699
Calcoene;1600204;AP;Calçoene;05;Calçoene;1058;N;2.49655904456698;-50.9447727342665
